英単語(cluster)	発音記号	意味	例文（ほとんど同じ単語を使用したもの）	例文（少し単語を変更したもの）	補足説明（1単語の意味や一緒に覚えたほうが良い単語等）	セクション
search for a good mechanic	sɜrtʃ fɔr ə gʊd məˈkænɪk	良い整備士を探す	I need to search for a good mechanic.	She is searching for her lost keys.	search for: 〜を探し求める。mechanic: 整備士、機械工	交通／乗り物
pick John up at the airport	pɪk dʒɑn ʌp æt ði ˈɛrˌpɔrt	空港でジョンを車に乗せる（迎えに行く）	I will pick John up at the airport.	Please pick me up at the station.	pick up + 人: （人）を車で迎えに行く、車に乗せる	大切な基本動詞
pick on someone else	pɪk ɑn ˈsʌmˌwʌn ɛls	他の誰かをいじめる（からかう）	Why don't you pick on someone else?	The older kids always picked on him.	pick on: 〜をいじめる、〜にがみがみ言う。else: 他の	大切な基本動詞
pick up a piece of chalk	pɪk ʌp ə pis ʌv tʃɔk	1本のチョークを拾い上げる（手に取る）	The teacher picked up a piece of chalk.	He picked up a piece of paper from the floor.	pick up + 物: （物）を拾い上げる。chalkは数えられない名詞なので a piece of を使う。	大切な基本動詞
pick out the best	pɪk aʊt ðə bɛst	最も良いものを選び出す	Please pick out the best one from the box.	She picked out a beautiful dress for the party.	pick out: 〜を選び出す（chooseと同じ意味で使われる）	大切な基本動詞
blow my horn	bloʊ maɪ hɔrn	クラクションを鳴らす	I had to blow my horn to warn the pedestrian.	He blew his horn angrily.	horn: クラクション。honk my hornとも言う。	車／道
rearview mirror	ˈrɪrˌvju ˈmɪrər	バックミラー	Check the rearview mirror before backing up.	She looked in the rearview mirror.	rear (後ろ) ＋ view (景色) ＋ mirror。和製英語のバックミラーに注意。	車／道
turn signal	tɜrn ˈsɪgnəl	ウインカー、方向指示器	Always use your turn signal when changing lanes.	He forgot to put on his turn signal.	blinker や indicator とも言う（ウィンカーは和製英語）。	車／道
flat tire	flæt ˈtaɪər	パンクしたタイヤ	I got a flat tire on my way to work.	He had to fix a flat tire.	パンク(puncture)より get a flat tire が一般的。	車／道
go the wrong way	goʊ ðə rɔŋ weɪ	道を間違える、逆走する	I think we are going the wrong way.	He realized he went the wrong way.	the wrong way: 間違った方向、逆方向	車／道
the middle of the street	ðə ˈmɪdəl ʌv ðə strit	道の真ん中	Don't walk in the middle of the street.	A dog was sitting in the middle of the street.	in the middle of: 〜の真ん中に	車／道
turn the steering wheel	tɜrn ðə ˈstɪrɪŋ wil	ハンドルを回す	Slowly turn the steering wheel to the right.	He turned the steering wheel sharply.	steering wheel: （車の）ハンドル。「ハンドル」だけだとドアの取っ手などを指す。	車／道
an automobile wreck	ən ˈɔtəmoʊˌbil rɛk	自動車事故、大破した自動車	He survived a terrible automobile wreck.	There was an automobile wreck on the highway.	wreck: 大破、事故。automobile: 自動車 (carのフォーマル表現)。	車／道
hit a bicycle	hɪt ə ˈbaɪsɪkəl	自転車にぶつかる	The car almost hit a bicycle.	He accidentally hit a bicycle in the dark.	hit: ぶつかる、打つ	車／道
a track through the snow	ə træk θru ðə snoʊ	雪の中の足跡（わだち）	I followed a track through the snow.	We left a track through the snow.	track: 足跡、通った跡	車／道
go two blocks	goʊ tu blɑks	2ブロック進む	Go two blocks and turn left.	The post office is two blocks away.	道案内の定番表現。	車／道
slide down a steep slope	slaɪd daʊn ə stip sloʊp	急な斜面を滑り降りる	The children love to slide down a steep slope.	Rocks started to slide down a steep slope.	steep: 険しい、急な。slope: 坂、斜面	車／道
hinder the flow of cars	ˈhɪndər ðə floʊ ʌv kɑrz	車の流れを妨げる	The accident will hinder the flow of cars.	Parked trucks hinder the flow of cars.	hinder: 妨げる、遅らせる	車／道
Yield	jild	譲れ（道路標識など）	You must stop at the "Yield" sign.	Drivers must yield to pedestrians.	yield: 譲る、屈する、産出する。交通標識では「ゆずれ」。	車／道
Caution	ˈkɔʃən	注意、警告	Exercise caution when crossing the road.	The sign said "Caution: Wet Floor."	caution: 注意、用心	車／道
a curve in the road	ə kɜrv ɪn ðə roʊd	道路のカーブ	Slow down at a curve in the road.	There is a dangerous curve in the road ahead.	curve: カーブ、曲線	車／道
replace a tire	rɪˈpleɪs ə ˈtaɪər	タイヤを交換する	It is time to replace a tire.	He replaced a tire on his car.	replace A with B: AをBと交換する	車／道
park in a garage	pɑrk ɪn ə gəˈrɑʒ	ガレージ（車庫）に駐車する	I usually park in a garage.	She parked her car in a garage.	park: 駐車する。garage: 車庫	車／道
pump gas	pʌmp gæs	ガソリンを入れる	It's cold outside to pump gas.	He stopped at the station to pump gas.	pump gas: 給油する。アメリカ英語ではガソリンを gas という。	車／道
$4 per gallon	fɔr ˈdɑlərz pɜr ˈgælən	1ガロンあたり4ドル	Gas costs $4 per gallon here.	The price went up to $4 per gallon.	1ガロン = 約3.78リットル（アメリカ）。per: 〜につき	車／道
lessen a load	ˈlɛsən ə loʊd	荷物（負担）を軽くする	He tried to lessen a load on his back.	We hired more staff to lessen a load.	lessen: 少なくする、減らす (lessの動詞化)。load: 荷物、重荷	車／道
cause an accident	kɔz ən ˈæksədənt	事故を引き起こす	Driving while tired can cause an accident.	His carelessness caused an accident.	cause: 〜の原因となる、引き起こす	車／道
think back on my college days	θɪŋk bæk ɑn maɪ ˈkɑlɪdʒ deɪz	大学時代を思い返す	I often think back on my college days.	She thought back on her high school days with a smile.	think back on: 〜を振り返る、思い出す	大切な基本動詞
think of others	θɪŋk ʌv ˈʌðərz	他人のことを考える（思いやる）	You should always think of others.	She is kind and always thinks of others.	think of: 〜のことを考える	大切な基本動詞
think things out	θɪŋk θɪŋz aʊt	状況を十分に考える、解決策を考える	Take your time to think things out.	We need to think things out before making a decision.	think out: 考え抜く	大切な基本動詞
think something through carefully	θɪŋk ˈsʌmθɪŋ θru ˈkɛrfəli	（何かを）慎重に考え抜く	You need to think something through carefully.	I thought the plan through carefully.	think through: 徹底的に考える	大切な基本動詞
think up a new method	θɪŋk ʌp ə nu ˈmɛθəd	新しい方法を考え出す（考案する）	He can easily think up a new method.	The team thought up a brilliant idea.	think up: 考え出す、思いつく（come up withと似ている）	大切な基本動詞
look at the map	lʊk æt ðə mæp	地図を見る	Look at the map to find our location.	She looked at the map carefully.	look at: 〜（一点）を見る	大切な基本動詞
look around an ancient church	lʊk əˈraʊnd ən ˈeɪnʃənt tʃɜrtʃ	古い教会を見回る（見学する）	We decided to look around an ancient church.	They looked around the museum.	look around: 見回す、見学する。ancient: 古代の、非常に古い	大切な基本動詞
look back on high school days	lʊk bæk ɑn haɪ skul deɪz	高校時代を振り返る	I look back on high school days fondly.	Old people often look back on their past.	look back on: （過去を）振り返る。think back on とほぼ同じ。	大切な基本動詞
look forward to vacation	lʊk ˈfɔrwərd tu veɪˈkeɪʃən	休暇を楽しみに待つ	I really look forward to vacation.	She is looking forward to seeing you.	look forward to -ing/名詞: 〜を楽しみにする。to の後ろが動詞の原形にならないことに注意。	大切な基本動詞
look into a crime	lʊk ˈɪntu ə kraɪm	犯罪を調査する	The police will look into a crime.	They are looking into the cause of the fire.	look into: （中を覗き込むように）調査する、調べる	大切な基本動詞
look through a pile of papers	lʊk θru ə paɪl ʌv ˈpeɪpərz	書類の山に目を通す	I had to look through a pile of papers.	She looked through the magazine quickly.	look through: （最初から最後まで）目を通す。pile: 積み重ね、山	大切な基本動詞
look up information on the Web	lʊk ʌp ˌɪnfərˈmeɪʃən ɑn ðə wɛb	ウェブで情報を調べる	I usually look up information on the Web.	He looked up the word in the dictionary.	look up: （辞書やネットで情報を）調べる、見上げる	大切な基本動詞
look up to my parents	lʊk ʌp tu maɪ ˈpɛrənts	自分の両親を尊敬する	I always look up to my parents.	Many students look up to the teacher.	look up to: 〜を見上げる→尊敬する。反対語は look down on (見下す)。	大切な基本動詞
look over a newspaper article	lʊk ˈoʊvər ə ˈnuzˌpeɪpər ˈɑrtɪkəl	新聞記事にざっと目を通す	He looked over a newspaper article during breakfast.	Please look over this document.	look over: ざっと目を通す、調べる	大切な基本動詞
morning	ˈmɔrnɪŋ	朝、午前	I woke up early this morning.	Good morning!	in the morning: 朝に	タイミング
afternoon	ˌæftərˈnun	午後	Let's meet tomorrow afternoon.	He usually works in the afternoon.	in the afternoon: 午後に	タイミング
evening	ˈivnɪŋ	夕方、晩	We had dinner late in the evening.	The event starts this evening.	in the evening: 夕方に	タイミング
night	naɪt	夜	I couldn't sleep well last night.	The stars are beautiful at night.	at night: 夜に（in the nightより一般的）	タイミング
noon / midnight	nun / ˈmɪdˌnaɪt	正午 / 真夜中	We will have lunch at noon.	He came back at midnight.	at noon, at midnight と前置詞に at を使う。	タイミング
in the long run	ɪn ðə lɔŋ rʌn	長い目で見れば、長期的には	Hard work will pay off in the long run.	It might be cheaper in the long run.	run: 期間。短期的に(in the short run)と対比される。	タイミング
all of a sudden	ɔl ʌv ə ˈsʌdən	突然、急に	All of a sudden, the power went out.	He started laughing all of a sudden.	suddenly と同じ意味の熟語。	タイミング
out of the blue	aʊt ʌv ðə blu	突然、前触れもなく	She called me completely out of the blue.	An opportunity came out of the blue.	out of a clear blue sky（青天の霹靂）に由来。	タイミング
at the moment	æt ðə ˈmoʊmənt	今のところ、現在	I am busy at the moment.	We don't have any in stock at the moment.	currently と同じ。イギリス英語で特によく使われる。	タイミング
spare a few minutes	spɛr ə fju ˈmɪnəts	数分を割く	Can you spare a few minutes to talk?	I cannot spare any time today.	spare: （時間やお金を）割く、分け与える	タイミング
early this morning	ˈɜrli ðɪs ˈmɔrnɪŋ	今朝早くに	I woke up early this morning.	He left home early this morning.		タイミング
between 9:00 a.m. and 5:00 p.m.	bɪˈtwin naɪn eɪ-ɛm ænd faɪv pi-ɛm	午前9時から午後5時の間に	The shop is open between 9:00 a.m. and 5:00 p.m.	Please call between 9:00 a.m. and 5:00 p.m.	between A and B: AとBの間に	タイミング
at 12 noon	æt twɛlv nun	昼の12時に	The meeting will start at 12 noon.	He arrived exactly at 12 noon.	a.m.やp.m.を使わずに正午を明確にする言い方。	タイミング
a delay of ten minutes	ə dɪˈleɪ ʌv tɛn ˈmɪnəts	10分の遅れ	There is a delay of ten minutes on this train.	We apologized for a delay of ten minutes.	delay: 遅れ、遅延	タイミング
several years ago	ˈsɛvərəl jɪrz əˈgoʊ	数年前に	I visited there several years ago.	He quit his job several years ago.	several: いくつかの、数〜	タイミング
a century	ə ˈsɛntʃəri	1世紀、100年	The castle was built over a century ago.	We are living in the 21st century.	1世紀＝100年。	タイミング
in an instant	ɪn ən ˈɪnstənt	一瞬で、たちまち	The building collapsed in an instant.	She solved the problem in an instant.	instant: 瞬間	タイミング
an awkward moment of silence	ən ˈɔkwərd ˈmoʊmənt ʌv ˈsaɪləns	気まずい沈黙の瞬間	There was an awkward moment of silence.	We shared an awkward moment of silence.	awkward: 気まずい、ぎこちない。silence: 沈黙	タイミング
in the afternoon	ɪn ði ˌæftərˈnun	午後に	We will have a meeting in the afternoon.	It started raining in the afternoon.	afternoon, morning, evening は in を伴う。	タイミング
in the meanwhile	ɪn ðə ˈminˌwaɪl	その間に、それと同時に	In the meanwhile, I will prepare dinner.	I kept working in the meanwhile.	#ERROR!	タイミング
in the winter	ɪn ðə ˈwɪntər	冬に	It gets very cold here in the winter.	We love skiing in the winter.	季節（spring, summer, autumn/fall, winter）には in を使う。	タイミング
